@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string

@data

transition,3,9,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3687,409,385,24,0,94.132029,5.867971,0,-0.0225,0.065616,0.226466,225.162238,188.363632,45.139488,880.544504,-835.405016,0.110365,2.152921,-2.042555,-197.184238,-0.482113,-176353.258173,0,0,0.044665,18,0.955335,385,1,6,0,0,0,0.580232,0.94132,0.985985,0.014015,0.05868,0.97021,0.94132,0.955547,0.580232,0.002,0.004,0,0,9806,729552,83786,?
transition,3,10,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3687,409,387,22,0,94.621027,5.378973,0,-0.021803,0.052657,0.219428,180.692413,182.509662,45.139488,1182.366781,-1137.227293,0.110365,2.890872,-2.780507,-107.622376,-0.263135,-96252.90998,0,0,0.039702,16,0.960298,387,1,6,0,0,0,0.459471,0.94621,0.985913,0.014087,0.05379,0.970287,0.94621,0.958097,0.437873,0.001,0.005,0,0,9806,729552,83786,?
transition,4,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3686,410,362,48,0,88.292683,11.707317,0,0.01462,0.134866,0.292592,463.284362,243.657256,45.161205,553.655556,-508.494352,0.110149,1.350379,-1.24023,-541.812557,-1.321494,-484468.378141,0.166667,1,0.106436,43,0.893564,361,0.833333,5,0.022727,0.166667,0.04,0.37665,0.882927,0.822696,0.177304,0.117073,0.972237,0.882927,0.924526,0.375634,0.002,0.004,0,0,9806,729355,83983,?
transition,4,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3686,410,352,58,0,85.853659,14.146341,0,0.097191,0.141369,0.323902,485.622478,269.730472,45.161205,518.52981,-473.368606,0.110149,1.264707,-1.154558,-458.414246,-1.118084,-409896.750195,0.666667,4,0.138614,56,0.861386,348,0.333333,2,0.066667,0.666667,0.121212,0.686881,0.858537,0.330484,0.669516,0.141463,0.980711,0.858537,0.911342,0.700093,0.002,0.004,0,0,9806,729355,83983,?
transition,4,3,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3686,410,404,6,0,98.536585,1.463415,0,0,0.014634,0.120972,50.270344,100.739565,45.161205,6444,-6398.838795,0.110149,15.717073,-15.606924,8.627561,0.021043,7714.440427,0,0,0,0,1,404,1,6,0,0,0,0.5,0.985366,0.985366,0.014634,0.014634,0.970946,0.985366,0.978103,0.5,0.003,0.008,0,0.01,9806,729355,83983,?
transition,4,4,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3686,410,392,18,0,95.609756,4.390244,0,0.081175,0.063178,0.203105,217.026933,169.136013,45.161205,423.279959,-378.118755,0.110149,1.03239,-0.922241,-238.76061,-0.582343,-213490.743727,0.166667,1,0.032178,13,0.967822,391,0.833333,5,0.071429,0.166667,0.1,0.626238,0.956098,0.821609,0.178391,0.043902,0.97397,0.956098,0.964659,0.635384,0.002,0.004,0,0,9806,729355,83983,?
transition,4,5,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3686,410,400,10,0,97.560976,2.439024,0,-0.011846,0.023011,0.143558,79.044574,119.54807,45.161205,1359.867381,-1314.706177,0.110149,3.31675,-3.2066,-16.589231,-0.040462,-14833.46532,0,0,0.009901,4,0.990099,400,1,6,0,0,0,0.546617,0.97561,0.985511,0.014489,0.02439,0.970804,0.97561,0.973201,0.575072,0.001,0.005,0,0.01,9806,729355,83983,?
transition,4,6,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3686,410,366,44,0,89.268293,10.731707,0,-0.025933,0.109977,0.288709,377.786155,240.423273,45.161205,981.066315,-935.90511,0.110149,2.392845,-2.282695,-332.282015,-0.810444,-297114.06102,0,0,0.094059,38,0.905941,366,1,6,0,0,0,0.533828,0.892683,0.986742,0.013258,0.107317,0.969473,0.892683,0.929495,0.543991,0.001,0.005,0,0.01,9806,729355,83983,?
transition,4,7,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3687,409,364,45,0,88.997555,11.002445,0,0.017404,0.123214,0.278531,422.811441,231.669242,45.139488,238.087568,-192.94808,0.110365,0.582121,-0.471756,-464.964529,-1.136833,-415844.645246,0.166667,1,0.099256,40,0.900744,363,0.833333,5,0.02439,0.166667,0.042553,0.588503,0.889976,0.822564,0.177436,0.110024,0.9723,0.889976,0.928445,0.581372,0.002,0.004,0,0.01,9806,729552,83786,?
transition,4,8,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3687,409,359,50,0,87.775061,12.224939,0,-0.026503,0.120403,0.322355,413.162831,268.119958,45.139488,983.837292,-938.697804,0.110365,2.40547,-2.295105,-321.51793,-0.786107,-287552.062835,0,0,0.109181,44,0.890819,359,1,6,0,0,0,0.462366,0.877751,0.986932,0.013068,0.122249,0.969133,0.877751,0.921181,0.49415,0.002,0.004,0,0.01,9806,729552,83786,?
transition,4,9,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3687,409,367,42,0,89.731051,10.268949,0,0.020639,0.107488,0.297095,368.845628,247.109701,45.139488,574.885273,-529.745784,0.110365,1.405587,-1.295222,-312.788498,-0.764764,-279744.827769,0.166667,1,0.091811,37,0.908189,366,0.833333,5,0.026316,0.166667,0.045455,0.504136,0.897311,0.822455,0.177545,0.102689,0.972437,0.897311,0.932529,0.513304,0.001,0.005,0.01,0,9806,729552,83786,?
transition,4,10,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3687,409,384,25,0,93.887531,6.112469,0,-0.022807,0.083791,0.220666,287.528276,183.539899,45.139488,147.3264,-102.186912,0.110365,0.360211,-0.249846,-371.942326,-0.909394,-332649.514402,0,0,0.047146,19,0.952854,384,1,6,0,0,0,0.593879,0.938875,0.986022,0.013978,0.061125,0.970171,0.938875,0.954267,0.593879,0.002,0.004,0,0.01,9806,729552,83786,?
