@relation transition

@attribute atimbremean numeric
@attribute atimbrestd numeric
@attribute atimbrevariance numeric
@attribute atimbreskew numeric
@attribute atimbrekurtosis numeric
@attribute apitchmean numeric
@attribute apitchstd numeric
@attribute apitchvariance numeric
@attribute apitchskew numeric
@attribute apitchkurtosis numeric
@attribute btimbremean numeric
@attribute btimbrestd numeric
@attribute btimbrevariance numeric
@attribute btimbreskew numeric
@attribute btimbrekurtosis numeric
@attribute bpitchmean numeric
@attribute bpitchstd numeric
@attribute bpitchvariance numeric
@attribute bpitchskew numeric
@attribute bpitchkurtosis numeric
@attribute class {true,false}

@data
-0.034092,0.132885,0.017658,0.303507,-0.501261,0.20839,0.050225,0.002523,2.127095,6.464015,0.091088,0.30401,0.092422,-0.122776,-0.423236,0.435342,0.148648,0.022096,0.161674,-1.06274,false
-0.034092,0.132885,0.017658,0.303507,-0.501261,0.20839,0.050225,0.002523,2.127095,6.464015,-0.012907,0.233655,0.054595,0.737785,0.63816,0.451162,0.093284,0.008702,-0.352823,-0.280612,false
-0.034092,0.132885,0.017658,0.303507,-0.501261,0.20839,0.050225,0.002523,2.127095,6.464015,0.018429,0.272237,0.074113,0.45404,0.408062,0.308769,0.111451,0.012421,0.978481,0.665402,false
-0.034092,0.132885,0.017658,0.303507,-0.501261,0.20839,0.050225,0.002523,2.127095,6.464015,0.020435,0.242288,0.058703,0.642749,0.383258,0.442557,0.122306,0.014959,0.349929,-0.442507,false
-0.034092,0.132885,0.017658,0.303507,-0.501261,0.20839,0.050225,0.002523,2.127095,6.464015,0.051788,0.222605,0.049553,0.475855,-0.381771,0.297768,0.096301,0.009274,0.685441,-0.559458,false
-0.034092,0.132885,0.017658,0.303507,-0.501261,0.20839,0.050225,0.002523,2.127095,6.464015,0.059059,0.265785,0.070641,0.301925,-0.842929,0.360602,0.069577,0.004841,-0.084554,0.973518,false
-0.034092,0.132885,0.017658,0.303507,-0.501261,0.20839,0.050225,0.002523,2.127095,6.464015,0.030166,0.282516,0.079815,0.284586,-0.730485,0.439194,0.132779,0.01763,-0.075468,-0.690994,false
-0.034092,0.132885,0.017658,0.303507,-0.501261,0.20839,0.050225,0.002523,2.127095,6.464015,0.003868,0.294912,0.086973,0.002873,0.147686,0.282892,0.12324,0.015188,0.925342,0.002909,false
-0.034092,0.132885,0.017658,0.303507,-0.501261,0.20839,0.050225,0.002523,2.127095,6.464015,-0.00036,0.268967,0.072343,-2.120151,6.813554,0.394194,0.106898,0.011427,0.804871,0.840691,false
-0.034092,0.132885,0.017658,0.303507,-0.501261,0.20839,0.050225,0.002523,2.127095,6.464015,0.004869,0.296067,0.087656,-0.281761,0.048883,0.254707,0.097748,0.009555,1.214263,1.396321,false
-0.034092,0.132885,0.017658,0.303507,-0.501261,0.20839,0.050225,0.002523,2.127095,6.464015,0.007098,0.30349,0.092106,0.615922,0.392305,0.263212,0.09739,0.009485,1.381347,1.56557,false
-0.034092,0.132885,0.017658,0.303507,-0.501261,0.20839,0.050225,0.002523,2.127095,6.464015,0.006908,0.19029,0.03621,1.621007,5.580097,0.315986,0.095833,0.009184,1.090054,0.841014,false
