@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string

@data

transition,3,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3687,409,402,7,0,98.288509,1.711491,0,-0.004209,0.044398,0.139086,152.352275,115.685537,45.139488,64.086542,-18.947054,0.110365,0.156691,-0.046325,-216.363379,-0.529006,-193506.272105,0,0,0.002481,1,0.997519,402,1,6,0,0,0,0.248966,0.982885,0.985366,0.014634,0.017115,0.97084,0.982885,0.976825,0.248966,0.047,0.004,0.05,0,6708,729552,83786,?
transition,3,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3687,409,403,6,0,98.533007,1.466993,0,0,0.044399,0.129057,152.356447,107.343367,45.139488,276.584346,-231.444858,0.110365,0.676245,-0.56588,-290.82313,-0.711059,-260099.929768,0,0,0,0,1,403,1,6,0,0,0,0.38172,0.98533,0.98533,0.01467,0.01467,0.970875,0.98533,0.978049,0.382943,0.047,0.004,0.05,0,6708,729552,83786,?
transition,3,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3687,409,403,6,0,98.533007,1.466993,0,0,0.035412,0.127232,121.517574,105.825445,45.139488,51.948168,-6.80868,0.110365,0.127013,-0.016647,-131.008581,-0.320314,-117168.544058,0,0,0,0,1,403,1,6,0,0,0,0.410256,0.98533,0.98533,0.01467,0.01467,0.970875,0.98533,0.978049,0.410256,0.047,0.003,0.04,0.01,6708,729552,83786,?
transition,3,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3687,409,402,7,0,98.288509,1.711491,0,-0.004209,0.046528,0.139513,159.661618,116.040236,45.139488,86.92166,-41.782172,0.110365,0.212522,-0.102157,-245.023156,-0.599079,-219138.366455,0,0,0.002481,1,0.997519,402,1,6,0,0,0,0.289495,0.982885,0.985366,0.014634,0.017115,0.97084,0.982885,0.976825,0.289495,0.048,0.003,0.05,0,6708,729552,83786,?
transition,4,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3686,410,403,7,0,98.292683,1.707317,0,-0.004199,0.052453,0.141889,180.182677,118.158248,45.161205,288.462719,-243.301514,0.110149,0.703568,-0.593418,-347.127606,-0.846653,-310388.4288,0,0,0.002475,1,0.997525,403,1,6,0,0,0,0.32797,0.982927,0.985402,0.014598,0.017073,0.970911,0.982927,0.976882,0.329596,0.049,0.004,0.05,0,6708,729355,83983,?
transition,4,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3686,410,404,6,0,98.536585,1.463415,0,0,0.035196,0.125152,120.904747,104.221135,45.161205,52.107996,-6.946792,0.110149,0.127093,-0.016943,-153.015896,-0.37321,-136821.050392,0,0,0,0,1,404,1,6,0,0,0,0.390677,0.985366,0.985366,0.014634,0.014634,0.970946,0.985366,0.978103,0.390677,0.047,0.004,0.04,0.01,6708,729355,83983,?
transition,4,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3686,410,402,8,0,98.04878,1.95122,0,-0.007371,0.044994,0.143621,154.559087,119.601232,45.161205,61.999772,-16.838568,0.110149,0.151219,-0.04107,-192.679476,-0.46995,-172286.728969,0,0,0.00495,2,0.99505,402,1,6,0,0,0,0.344059,0.980488,0.985438,0.014562,0.019512,0.970875,0.980488,0.975658,0.344059,0.049,0.004,0.05,0,6708,729355,83983,?
transition,4,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3686,410,402,8,0,98.04878,1.95122,0,-0.007371,0.041574,0.138235,142.813209,115.115491,45.161205,58.457586,-13.296382,0.110149,0.142579,-0.03243,-176.319185,-0.430047,-157657.973529,0,0,0.00495,2,0.99505,402,1,6,0,0,0,0.306518,0.980488,0.985438,0.014562,0.019512,0.970875,0.980488,0.975658,0.306518,0.046,0.004,0.05,0,6708,729355,83983,?
transition,4,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3686,410,404,6,0,98.536585,1.463415,0,0,0.037718,0.126831,129.565828,105.6192,45.161205,55.052687,-9.891482,0.110149,0.134275,-0.024126,-174.954325,-0.426718,-156437.566821,0,0,0,0,1,404,1,6,0,0,0,0.307343,0.985366,0.985366,0.014634,0.014634,0.970946,0.985366,0.978103,0.307343,0.049,0.004,0.06,0,6708,729355,83983,?
transition,4,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3686,410,404,6,0,98.536585,1.463415,0,0,0.039177,0.125612,134.577783,104.603482,45.161205,268.293664,-223.13246,0.110149,0.654375,-0.544226,-222.711107,-0.543198,-199139.882047,0,0,0,0,1,404,1,6,0,0,0,0.466997,0.985366,0.985366,0.014634,0.014634,0.970946,0.985366,0.978103,0.465777,0.049,0.003,0.05,0.01,6708,729355,83983,?
